epoch,train_loss_avg,synthval_rel_KPstar_cm,synthval_abs_cm
0,0.1303,6.127,6.117
1,0.0763,5.078,4.997
2,0.0621,4.248,3.841
3,0.0526,3.964,3.697
4,0.0475,3.362,2.931
5,0.0427,3.098,2.751
6,0.0402,2.961,2.594
7,0.0380,2.831,2.808
8,0.0354,3.065,2.934
9,0.0279,2.294,1.838
10,0.0266,2.225,1.788
11,0.0262,2.192,1.764
12,0.0257,2.155,1.714
13,0.0256,2.141,1.710
14,0.0249,2.112,1.653
15,0.0245,2.112,1.659
16,0.0245,2.109,1.651
17,0.0244,2.095,1.640
18,0.0244,2.091,1.637
19,0.0244,2.087,1.634
